bench,input_size,scale,mode,mantissa,float_type,job_file_base,stats_job_file_base,var_min,var_max,var_isnan,var_isinf,MathOp,IntegerOp,Integer32Op,Integer64Op,FloatingPointOp,FloatSingleOp,FloatDoubleOp,FloatMulDivOp,FloatMulDivSingleOp,FloatMulDivDoubleOp,smul.fix.i32,sdiv.fix.i32,add,sub,CastOp,Shift,fdiv,fmul,fadd,fsub,dyn_fdiv,dyn_fmul,dyn_fadd,dyn_fsub,kernel_dyn_fdiv,kernel_dyn_fmul,kernel_dyn_fadd,kernel_dyn_fsub,err_predicted_perc_order,err_predicted_perc_order_adjusted,float_op_count,kernel_float_op_count,compile_time,e_perc_order,e_abs_order,output_size,rel_err,max_rel,abs_err,max_abs,bench_scale,float_op_count_default,kernel_float_op_count_default
trmm,standard,1024,fixed,24,float32,./build/bin/fixed/trmm/24/trmm-standard-1024-fixed-24,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,1060.825927734375,-3.0,4.0,160,0.0008823759758054087,0.0037067209775968894,1304.1509433962358,4224.0,trmm-1024,1805,1600
trmm,standard,1024,fixed,16,float24,./build/bin/fixed/trmm/16/trmm-standard-1024-fixed-16,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,1070.842529296875,-3.0,4.0,160,0.0008841946618694481,0.0037067209775968894,1310.5911949685628,4288.0,trmm-1024,1805,1600
trmm,standard,1024,fixed,11,float19,./build/bin/fixed/trmm/11/trmm-standard-1024-fixed-11,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,2.0,-5.0,2065,1600,1056.52392578125,-2.0,4.0,160,0.0017292029432137688,0.004388586956521888,3067.9748427673053,12960.0,trmm-1024,1805,1600
trmm,standard,1024,fixed,8,bfloat16,./build/bin/fixed/trmm/8/trmm-standard-1024-fixed-8,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,5.0,-2.0,2065,1600,1059.848876953125,-1.0,5.0,160,0.010115563414668646,0.023800872093023256,19374.490566037748,85964.80000000075,trmm-1024,1805,1600
trmm,standard,1024,float,24,float32,./build/bin/float/trmm/24/trmm-standard-1024-float-24,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,,-7.0,-1.0,160,2.9029477510160408e-08,1.337596699881422e-07,0.04942511791987901,0.40000000037252903,trmm-1024,1805,1600
trmm,standard,1024,float,16,float24,./build/bin/float/trmm/16/trmm-standard-1024-float-16,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,,-4.0,2.0,160,3.718920665270297e-05,8.873901854645488e-05,73.12578616353134,332.80000000074506,trmm-1024,1805,1600
trmm,standard,1024,float,11,float19,./build/bin/float/trmm/11/trmm-standard-1024-float-11,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,2.0,-5.0,2065,1600,,-2.0,4.0,160,0.001224776804310172,0.002431214421252372,2322.5157232704496,10790.400000000373,trmm-1024,1805,1600
trmm,standard,1024,float,8,bfloat16,./build/bin/float/trmm/8/trmm-standard-1024-float-8,./build/stats/trmm/1024/trmm-standard-1024,0.0,5456448.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,5.0,-2.0,2065,1600,,-1.0,5.0,160,0.010115563414668646,0.023800872093023256,19374.490566037748,85964.80000000075,trmm-1024,1805,1600
trmm,standard,512,fixed,24,float32,./build/bin/fixed/trmm/24/trmm-standard-512-fixed-24,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,1057.076416015625,-3.0,2.0,160,0.00021281765774476677,0.00098595479490289,81.50943396226648,264.0,trmm-512,1805,1600
trmm,standard,512,fixed,16,float24,./build/bin/fixed/trmm/16/trmm-standard-512-fixed-16,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,1069.295654296875,-3.0,2.0,160,0.000223057702601609,0.00098595479490289,88.28930817610296,297.60000000009313,trmm-512,1805,1600
trmm,standard,512,fixed,11,float19,./build/bin/fixed/trmm/11/trmm-standard-512-fixed-11,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,2.0,-5.0,2065,1600,1058.34912109375,-2.0,3.0,160,0.001246639323544602,0.0027873961218836145,608.10062893082,2937.600000000093,trmm-512,1805,1600
trmm,standard,512,fixed,8,bfloat16,./build/bin/fixed/trmm/8/trmm-standard-512-fixed-8,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,14,8,8,0,6,6,0,5,5,0,1,0,4,0,4,4,3,2,1,0,205,1140,720,0,0,880,720,0,5.0,-2.0,2065,1600,1050.71728515625,-1.0,4.0,160,0.010367098303955722,0.02434593023255814,4902.1383647798775,21683.200000000186,trmm-512,1805,1600
trmm,standard,512,float,24,float32,./build/bin/float/trmm/24/trmm-standard-512-float-24,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,,-7.0,-1.0,160,2.9004602020599288e-08,1.3367041447319085e-07,0.012356279479969753,0.10000000009313226,trmm-512,1805,1600
trmm,standard,512,float,16,float24,./build/bin/float/trmm/16/trmm-standard-512-float-16,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,,-4.0,2.0,160,3.78544631369177e-05,8.869966294128082e-05,18.683962264153276,96.0,trmm-512,1805,1600
trmm,standard,512,float,11,float19,./build/bin/float/trmm/11/trmm-standard-512-float-11,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,2.0,-5.0,2065,1600,,-2.0,3.0,160,0.001218911815085553,0.0027873961218836145,601.2578616352225,2937.600000000093,trmm-512,1805,1600
trmm,standard,512,float,8,bfloat16,./build/bin/float/trmm/8/trmm-standard-512-float-8,./build/stats/trmm/512/trmm-standard-512,0.0,1364256.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,5.0,-2.0,2065,1600,,-1.0,4.0,160,0.010367098303955722,0.02434593023255814,4902.1383647798775,21683.200000000186,trmm-512,1805,1600
trmm,standard,256,fixed,24,float32,./build/bin/fixed/trmm/24/trmm-standard-256-fixed-24,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,16,16,16,0,0,0,0,0,0,0,2,0,5,0,0,11,0,0,0,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,1092.605712890625,-3.0,2.0,160,0.00021235723500832458,0.0009757893767836666,20.37735849056662,66.0,trmm-256,1805,1600
trmm,standard,256,fixed,16,float24,./build/bin/fixed/trmm/16/trmm-standard-256-fixed-16,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,16,16,16,0,0,0,0,0,0,0,2,0,5,0,0,11,0,0,0,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,1057.121337890625,-3.0,2.0,160,0.00021880093866265336,0.0009757893767836666,21.26729559748486,72.0,trmm-256,1805,1600
trmm,standard,256,fixed,11,float19,./build/bin/fixed/trmm/11/trmm-standard-256-fixed-11,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,16,16,16,0,0,0,0,0,0,0,2,0,5,0,0,11,0,0,0,0,205,1140,720,0,0,880,720,0,2.0,-5.0,2065,1600,1051.57470703125,-3.0,2.0,160,0.0005093179208215439,0.0013752455795678694,51.67295597484335,270.4000000000233,trmm-256,1805,1600
trmm,standard,256,fixed,8,bfloat16,./build/bin/fixed/trmm/8/trmm-standard-256-fixed-8,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,16,16,16,0,0,0,0,0,0,0,2,0,5,0,0,11,0,0,0,0,205,1140,720,0,0,880,720,0,5.0,-2.0,2065,1600,1049.95361328125,-2.0,3.0,160,0.002653352720567725,0.007182835820895353,273.4591194968559,1878.4000000000233,trmm-256,1805,1600
trmm,standard,256,float,24,float32,./build/bin/float/trmm/24/trmm-standard-256-float-24,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,,-7.0,-2.0,160,2.8955900439486687e-08,1.334922603189851e-07,0.003089069869992438,0.025000000023283064,trmm-256,1805,1600
trmm,standard,256,float,16,float24,./build/bin/float/trmm/16/trmm-standard-256-float-16,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,,-4.0,1.0,160,3.8063921046596506e-05,8.861320336730173e-05,4.746462264151527,24.0,trmm-256,1805,1600
trmm,standard,256,float,11,float19,./build/bin/float/trmm/11/trmm-standard-256-float-11,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,2.0,-5.0,2065,1600,,-2.0,3.0,160,0.0011806844459022188,0.0027987637362638196,143.57232704402574,782.4000000000233,trmm-256,1805,1600
trmm,standard,256,float,8,bfloat16,./build/bin/float/trmm/8/trmm-standard-256-float-8,./build/stats/trmm/256/trmm-standard-256,0.0,341136.0,0,0,7,4,4,0,3,3,0,2,2,0,0,0,4,0,0,0,0,2,1,0,205,1140,720,0,0,880,720,0,5.0,-2.0,2065,1600,,-1.0,4.0,160,0.010595054781007413,0.025436046511627907,1251.572327044026,5516.800000000047,trmm-256,1805,1600
trmm,standard,128,fixed,24,float32,./build/bin/fixed/trmm/24/trmm-standard-128-fixed-24,./build/stats/trmm/128/trmm-standard-128,0.0,85320.0,0,0,16,16,16,0,0,0,0,0,0,0,2,0,5,0,0,11,0,0,0,0,205,1140,720,0,0,880,720,0,-11.0,-18.0,2065,1600,1071.923583984375,-4.0,1.0,160,5.470059066439592e-05,0.0002266811144741078,1.2735849056605233,4.125,trmm-128,1805,1600
trmm,standard,128,fixed,16,float24,./build/bin/fixed/trmm/16/trmm-standard-128-fixed-16,./build/stats/trmm/128/trmm-standard-128,0.0,85320.0,0,0,16,16,16,0,0,0,0,0,0,0,2,0,5,0,0,11,0,0,0,0,205,1140,720,0,0,880,720,0,-3.0,-10.0,2065,1600,1060.679443359375,-4.0,1.0,160,6.335389865017439e-05,0.0002391390992428712,1.531446540880649,6.0,trmm-128,1805,1600
