bench,arch,taffo_conf,hw_sw_config,energy,float_op_count_default,kernel_float_op_count_default,energy_per_op
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,61702419.99999999,5700,5232,11793.27599388379
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,65997259.99999999,5220,4800,13749.429166666665
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26856900.0,2244,1760,15259.602272727272
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,19780800.0,2242,1760,11239.09090909091
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,71602200.0,6352,5880,12177.244897959185
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,48252000.0,4640,4020,12002.985074626866
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10066320.0,1600,1072,9390.223880597016
lu,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,83140500.0,21550,5130,16206.72514619883
ludcmp,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,74688300.0,22390,5910,12637.614213197969
mvt,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,22089480.0,2080,1600,13805.925
symm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,45696100.0,4935,4560,10021.07456140351
syr2k,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,87888240.0,8872,8296,10594.050144648023
syrk,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,53960699.99999999,4632,4216,12799.027514231497
trmm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26885700.0,1805,1600,16803.5625
heat-3d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10021500.0,8350,8100,1237.2222222222222
jacobi-1d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,7877760.0,840,780,10099.692307692309
jacobi-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,153259260.0,18250,16900,9068.59526627219
seidel-2d,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,234111220.0,30360,29160,8028.50548696845
2mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,123918440.0,5700,5232,23684.717125382263
3mm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,136858400.0,5220,4800,28512.166666666668
atax,bfloat16_IMFZm,float,bfloat16_IMFZm_float,42175700.00000001,2244,1760,23963.46590909091
bicg,bfloat16_IMFZm,float,bfloat16_IMFZm_float,35800100.0,2242,1760,20340.965909090908
gemm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,114959460.0,6352,5880,19550.928571428572
gemver,bfloat16_IMFZm,float,bfloat16_IMFZm_float,69400100.0,4640,4020,17263.70646766169
gesummv,bfloat16_IMFZm,float,bfloat16_IMFZm_float,21604320.0,1600,1072,20153.283582089553
lu,bfloat16_IMFZm,float,bfloat16_IMFZm_float,145794240.0,21550,5130,28419.929824561405
ludcmp,bfloat16_IMFZm,float,bfloat16_IMFZm_float,151144560.0,22390,5910,25574.375634517768
mvt,bfloat16_IMFZm,float,bfloat16_IMFZm_float,37053200.0,2080,1600,23158.25
symm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,74921040.0,4935,4560,16430.052631578947
syr2k,bfloat16_IMFZm,float,bfloat16_IMFZm_float,107406680.0,8872,8296,12946.803278688525
syrk,bfloat16_IMFZm,float,bfloat16_IMFZm_float,82361600.0,4632,4216,19535.483870967742
trmm,bfloat16_IMFZm,float,bfloat16_IMFZm_float,44753040.0,1805,1600,27970.65
jacobi-1d,bfloat16_IMFZm,float,bfloat16_IMFZm_float,147148800.0,840,780,188652.3076923077
jacobi-2d,bfloat16_IMFZm,float,bfloat16_IMFZm_float,188667360.0,18250,16900,11163.749112426036
seidel-2d,bfloat16_IMFZm,float,bfloat16_IMFZm_float,293690640.0,30360,29160,10071.69547325103
2mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,61595779.99999999,5700,5232,11772.893730886848
3mm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,68075920.0,5220,4800,14182.483333333334
atax,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,26715600.0,2244,1760,15179.318181818182
bicg,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,20288000.0,2242,1760,11527.272727272728
gemm,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,71534700.0,6352,5880,12165.765306122448
gemver,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,46519660.0,4640,4020,11572.054726368158
gesummv,bfloat16_IMFZm,fixed,bfloat16_IMFZm_fixed,10331880.0,1600,1072,9637.94776119403
