bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch
2mm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1434940000.0,1917.191057015,61702419.99999999,bfloat16_IMFZm_fixed,0.0045112270861368,bfloat16,8,0.0027274950245131,112,5700,5232,40225996.0,1274.465576171875,10431.0,7288.0,4.0,12505.559772296016,0.035714285714285726,0.01873168908059595,134217728.0,71281690.70208728,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.00981278351698915,0.43737410038795044,0.3966881375611644,119385.66498108515,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
3mm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1534820000.0,1451.357944581,65997259.99999999,bfloat16_IMFZm_fixed,0.0043783685422095,bfloat16,8,0.0031153342343562,72,5220,4800,14571572.0,1371.75537109375,10431.0,7288.0,4.0,12505.559772296016,0.055555555555555566,0.006785416975617403,134217728.0,65279022.0113852,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.010368224721061735,0.4130755351240191,0.3938627195368555,66503.45944422463,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
atax,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,596820000.0,651.47689398,26856900.0,bfloat16_IMFZm_fixed,0.0034085889450523,bfloat16,8,0.0024368750994291,22,2244,1760,16130245.0,1034.3466796875,10431.0,7288.0,4.0,12505.559772296016,0.09090909090909091,0.007511230651289225,134217728.0,28062476.129032258,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.008410663292656717,0.5423736412335558,0.49416265090168415,51934.15643893343,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
bicg,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.039,507200000.0,793.200021837,19780800.0,bfloat16_IMFZm_fixed,0.0047619345187519,bfloat16,8,0.0033451874020121,42,2242,1760,112081.460938,1063.117431640625,10431.0,7288.0,4.0,12505.559772296016,0.0476190476190476,5.219199738372117e-05,134217728.0,28037465.009487666,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0017171862916063498,0.4834112103853448,0.49580636962599467,101655.25108030334,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
gemm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,1591160000.0,1984.277449872,71602200.0,bfloat16_IMFZm_fixed,0.0162704028731941,bfloat16,8,0.0132302409536191,120,6352,5880,102522.875,1113.64306640625,10431.0,7288.0,4.0,12505.559772296016,0.033333333333333326,4.774093395099039e-05,134217728.0,79435315.67362429,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.00324058774041072,0.5335573410465272,0.4505595324392896,556826.0776971852,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
gemver,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.04,1206300000.0,5558.462336948,48252000.0,bfloat16_IMFZm_fixed,0.0047471934336861,bfloat16,8,0.0037936177206871,440,4640,4020,41686114304.0,1562.65478515625,10431.0,7288.0,4.0,12505.559772296016,0.009090909090909089,19.41160964965816,134217728.0,58025797.34345351,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.008605364423810786,0.592873719814456,0.6076955628098174,116217.39894597455,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
gesummv,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.036,279620000.0,506.595768553,10066320.0,bfloat16_IMFZm_fixed,0.0051741477410853,bfloat16,8,0.0035826019574069,16,1600,1072,185548.8125,1071.2724609375,10431.0,7288.0,4.0,12505.559772296016,0.0625,8.640289888717242e-05,134217728.0,20008895.635673624,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0026942501947312325,0.4194579638642576,0.46606440429361956,142253.6645645245,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
lu,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1933500000.0,6209.874642399,83140500.0,bfloat16_IMFZm_fixed,0.0037952910414539,bfloat16,8,0.0025399132532531,400,21550,5130,1046.079956,1051.319091796875,10431.0,7288.0,4.0,12505.559772296016,0.03999999999999999,4.871189389377833e-07,134217728.0,269494813.09297913,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.002818476018215364,0.484690879378107,0.47341899846233704,15739.025373893035,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
ludcmp,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,1659740000.0,2003.868492303,74688300.0,bfloat16_IMFZm_fixed,0.0584947228476478,bfloat16,8,127.88572936344868,20,22390,5910,1046.079956,1228.97802734375,10431.0,7288.0,4.0,12505.559772296016,0.7999999999999998,4.871189389377833e-07,134217728.0,279999483.3017078,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.04371381899694701,0.42453515497107935,0.3962328113063407,2520.7398185363622,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
mvt,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.042,525940000.0,827.174176744,22089480.0,bfloat16_IMFZm_fixed,0.0058184597430962,bfloat16,8,0.0048065171441571,40,2080,1600,81574.398438,1053.226806640625,10431.0,7288.0,4.0,12505.559772296016,0.04999999999999999,3.7986039387993543e-05,134217728.0,26011564.32637571,0.1645268138801262,0.05747634069400631,0.016666666666666666,0.1645268138801262,0.0014995458880716086,0.5196111363591456,0.4824960551906352,107806.52284106352,0.9731318219983207,0.9708272279206074,0.4,IMZmFbfloat16
