bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp
2mm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1434940000.0,1917.191057015,61702419.99999999,bfloat16_IMFZm_fixed,0.004511227086136849,bfloat16,8,0.0027274950245131,112,5700,5232,40225996.0,1274.465576171875,10431.0,7288.0,4.0
3mm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1534820000.0,1451.357944581,65997259.99999999,bfloat16_IMFZm_fixed,0.004378368542209507,bfloat16,8,0.0031153342343562,72,5220,4800,14571572.0,1371.75537109375,10431.0,7288.0,4.0
atax,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,596820000.0,651.47689398,26856900.0,bfloat16_IMFZm_fixed,0.0034085889450523334,bfloat16,8,0.0024368750994291,22,2244,1760,16130245.0,1034.3466796875,10431.0,7288.0,4.0
bicg,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.039,507200000.0,793.200021837,19780800.0,bfloat16_IMFZm_fixed,0.00476193451875194,bfloat16,8,0.0033451874020121,42,2242,1760,112081.460938,1063.117431640625,10431.0,7288.0,4.0
gemm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,1591160000.0,1984.277449872,71602200.0,bfloat16_IMFZm_fixed,0.016270402873194107,bfloat16,8,0.0132302409536191,120,6352,5880,102522.875,1113.64306640625,10431.0,7288.0,4.0
gemver,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.04,1206300000.0,5558.462336948,48252000.0,bfloat16_IMFZm_fixed,0.004747193433686194,bfloat16,8,0.0037936177206871,440,4640,4020,41686114304.0,1562.65478515625,10431.0,7288.0,4.0
gesummv,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.036,279620000.0,506.595768553,10066320.0,bfloat16_IMFZm_fixed,0.005174147741085327,bfloat16,8,0.0035826019574069,16,1600,1072,185548.8125,1071.2724609375,10431.0,7288.0,4.0
lu,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1933500000.0,6209.874642399,83140500.0,bfloat16_IMFZm_fixed,0.0037952910414539172,bfloat16,8,0.0025399132532531,400,21550,5130,1046.079956,1051.319091796875,10431.0,7288.0,4.0
ludcmp,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,1659740000.0,2003.868492303,74688300.0,bfloat16_IMFZm_fixed,0.058494722847647854,bfloat16,8,127.88572936344868,20,22390,5910,1046.079956,1228.97802734375,10431.0,7288.0,4.0
mvt,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.042,525940000.0,827.174176744,22089480.0,bfloat16_IMFZm_fixed,0.00581845974309626,bfloat16,8,0.0048065171441571,40,2080,1600,81574.398438,1053.226806640625,10431.0,7288.0,4.0
symm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1062700000.0,2325.726492143,45696100.0,bfloat16_IMFZm_fixed,0.007865858868641032,bfloat16,8,0.0064154861716652,160,4935,4560,700554.25,1157.877685546875,10431.0,7288.0,4.0
syr2k,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.044,1997460000.0,3487.485904426,87888240.0,bfloat16_IMFZm_fixed,0.007906583848349857,bfloat16,8,0.0059212359542934,256,8872,8296,126996.476562,1158.026123046875,10431.0,7288.0,4.0
syrk,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1254900000.0,3508.948324914,53960699.99999999,bfloat16_IMFZm_fixed,0.004464703313619767,bfloat16,8,0.003172988451314,256,4632,4216,105803.515625,1025.938232421875,10431.0,7288.0,4.0
trmm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.045,597460000.0,2136.845902734,26885700.0,bfloat16_IMFZm_fixed,0.00460116025049358,bfloat16,8,0.0024828271342902,160,1805,1600,85320.0,1048.98046875,10431.0,7288.0,4.0
heat-3d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.051,196500000.0,1915.253549631,10021500.0,bfloat16_IMFZm_fixed,0.0011445221445221447,bfloat16,8,0.0,125,8350,8100,3328.0,1339.158447265625,10431.0,7288.0,4.0
jacobi-1d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.044,179040000.0,468.513092661,7877760.0,bfloat16_IMFZm_fixed,0.004877643572677721,bfloat16,8,0.0023588793055819,15,840,780,145.066666,893.37646484375,10431.0,7288.0,4.0
jacobi-2d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.049,3127740000.0,4404.247248032,153259260.0,bfloat16_IMFZm_fixed,0.005093659020713179,bfloat16,8,0.0033205446201234,225,18250,16900,2056.533447,1059.51123046875,10431.0,7288.0,4.0
seidel-2d,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.049,4777780000.0,7397.619529377,234111220.0,bfloat16_IMFZm_fixed,0.004619560423523985,bfloat16,8,0.0030940997034472,400,30360,29160,2566.399902,1038.35693359375,10431.0,7288.0,4.0
2mm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,3644660000.0,1803.882754935,123918440.00000001,bfloat16_IMFZm_float,0.0034250025765955247,bfloat16,8,0.0309604565793997,112,5700,5232,19.18125,,10431.0,7288.0,4.0
3mm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,3910240000.0,1435.516155183,136858400.0,bfloat16_IMFZm_float,0.007528127602379657,bfloat16,8,0.0556945520187737,72,5220,4800,0.183333,,10431.0,7288.0,4.0
atax,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,1205020000.0,613.631208693,42175700.00000001,bfloat16_IMFZm_float,0.004270098835860752,bfloat16,8,0.0644477460610011,22,2244,1760,7.6915,,10431.0,7288.0,4.0
bicg,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,1022860000.0,753.088181421,35800100.0,bfloat16_IMFZm_float,0.0035178455746338404,bfloat16,8,0.0239894151058488,42,2242,1760,6.840909,,10431.0,7288.0,4.0
gemm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.033,3483620000.0,1699.899604327,114959460.0,bfloat16_IMFZm_float,0.0028625136643467505,bfloat16,8,0.0191174974584645,120,6352,5880,7.21,,10431.0,7288.0,4.0
gemver,float,1,bfloat16,bfloat16_IMFZm,1,1,0.035,1982860000.0,4352.407556786,69400100.0,bfloat16_IMFZm_float,0.003866856265127278,bfloat16,8,0.0120002833922919,440,4640,4020,18.203592,,10431.0,7288.0,4.0
gesummv,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,600120000.0,420.315518309,21604320.0,bfloat16_IMFZm_float,0.006510935522208775,bfloat16,8,0.0089804131896198,16,1600,1072,11.325001,,10431.0,7288.0,4.0
lu,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,4049840000.0,5502.952873969,145794240.0,bfloat16_IMFZm_float,0.0170103814232518,bfloat16,8,0.0294515432164485,400,21550,5130,8.1725,,10431.0,7288.0,4.0
ludcmp,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,4198460000.0,2858.614606109,151144560.0,bfloat16_IMFZm_float,1.1411990298485073,bfloat16,8,0.9633309296632904,20,22390,5910,8.1725,,10431.0,7288.0,4.0
mvt,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,1089800000.0,684.872778466,37053200.0,bfloat16_IMFZm_float,0.004983378327209995,bfloat16,8,0.028669797255447,40,2080,1600,5.75,,10431.0,7288.0,4.0
symm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,2203560000.0,1725.332585012,74921040.0,bfloat16_IMFZm_float,0.004287637554641127,bfloat16,8,0.0164787832243577,160,4935,4560,43.830002,,10431.0,7288.0,4.0
syr2k,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,3159020000.0,2633.948833816,107406680.00000001,bfloat16_IMFZm_float,0.0038414657108702096,bfloat16,8,0.0121591499811087,256,8872,8296,9.046875,,10431.0,7288.0,4.0
syrk,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,2422400000.0,2691.026137676,82361600.0,bfloat16_IMFZm_float,0.007234574308001876,bfloat16,8,0.0139939837744394,256,4632,4216,7.291172,,10431.0,7288.0,4.0
trmm,float,1,bfloat16,bfloat16_IMFZm,1,1,0.036,1243140000.0,1659.338475509,44753040.0,bfloat16_IMFZm_float,0.00317581033771173,bfloat16,8,0.0101878620771663,160,1805,1600,5.765625,,10431.0,7288.0,4.0
jacobi-1d,float,1,bfloat16,bfloat16_IMFZm,1,1,0.048,3065600000.0,1329.208102096,147148800.0,bfloat16_IMFZm_float,0.028930451249873517,bfloat16,8,0.0960204922577806,15,840,780,10.0,,10431.0,7288.0,4.0
jacobi-2d,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,5549040000.0,4565.459649663,188667360.0,bfloat16_IMFZm_float,0.04579053015939675,bfloat16,8,0.0864332534314854,225,18250,16900,16.066668,,10431.0,7288.0,4.0
seidel-2d,float,1,bfloat16,bfloat16_IMFZm,1,1,0.034,8637960000.0,7494.272212156,293690640.0,bfloat16_IMFZm_float,0.03334815242630243,bfloat16,8,0.1018502442830744,400,30360,29160,20.049999,,10431.0,7288.0,4.0
2mm,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.043,1432460000.0,1851.429889204,61595779.99999999,bfloat16_IMFZm_fixed,0.004137375717297839,bfloat16,8,0.002568399469124,112,5700,5232,78566.398438,1264.197998046875,10431.0,7288.0,4.0
3mm,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.044,1547180000.0,1489.425471414,68075920.0,bfloat16_IMFZm_fixed,0.004378368542209507,bfloat16,8,0.0031153342343562,72,5220,4800,3557.512695,1370.5693359375,10431.0,7288.0,4.0
atax,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.045,593680000.0,642.173109516,26715600.0,bfloat16_IMFZm_fixed,0.0034085889450523334,bfloat16,8,0.0024368750994291,22,2244,1760,31504.384766,1024.8828125,10431.0,7288.0,4.0
bicg,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.04,507200000.0,844.798371059,20288000.0,bfloat16_IMFZm_fixed,0.00476193451875194,bfloat16,8,0.0033451874020121,42,2242,1760,1751.272827,1076.76123046875,10431.0,7288.0,4.0
gemm,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.045,1589660000.0,1966.414750247,71534700.0,bfloat16_IMFZm_fixed,0.005786463849829134,bfloat16,8,0.0028809858023886,120,6352,5880,1615.359985,1116.843994140625,10431.0,7288.0,4.0
gemver,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.047,989780000.0,5313.732252654,46519660.0,bfloat16_IMFZm_fixed,0.004479762595248079,bfloat16,8,0.0029695068432243,440,4640,4020,1623528.25,1564.37646484375,10431.0,7288.0,4.0
gesummv,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.037,279240000.0,500.201802693,10331880.0,bfloat16_IMFZm_fixed,0.005174147741085327,bfloat16,8,0.0035826019574069,16,1600,1072,2899.200195,1061.006103515625,10431.0,7288.0,4.0
lu,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.043,1933500000.0,6212.542410062,83140500.0,bfloat16_IMFZm_fixed,0.0033504125692317517,bfloat16,8,0.0026740479950569,400,21550,5130,130.759995,1050.1875,10431.0,7288.0,4.0
ludcmp,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.045,1648480000.0,1982.894420238,74181600.0,bfloat16_IMFZm_fixed,0.003910546485860419,bfloat16,8,0.0024814620765831,20,22390,5910,130.759995,1224.517578125,10431.0,7288.0,4.0
mvt,fixed,16,bfloat16,bfloat16_IMFZm,1,1,0.043,525640000.0,849.871643249,22602520.0,bfloat16_IMFZm_fixed,0.004751086199303293,bfloat16,8,0.0031452260104753,40,2080,1600,1281.599976,1053.080810546875,10431.0,7288.0,4.0
