bench,taffo_conf,scale,fpu_conf,arch,hw_float_support,hw_fixed_support,dynamic_pwr,time,sim_time,energy,hw_sw_config,rel_err_run,float_type_equivalent,mantissa,rel_err_sim,output_size,float_op_count_default,kernel_float_op_count_default,var_max,compile_time,lut,ff,dsp,energy_per_op,rel_err_pred,rel_err_pred_formal,fix_err_eq_fl_err,energy_pred,lut_share,ff_share,dsp_share,max_area_share,ml_error,energy_gain_rel,time_gain_rel,error_gain_rel,lut_gain_rel,ff_gain_rel,dsp_gain_rel,canon_arch,target_err,in_sim,in_pred,err_lt_target,min_dist,rel_err_diff,energy_diff,lut_diff,ff_diff,dsp_diff
3mm,fixed,128,bfloat16,bfloat16_IMFZm,1,1,0.043,1534820000.0,1451.357944581,65997259.99999999,bfloat16_IMFZm_fixed,0.0043783685422095,bfloat16,8,0.0031153342343562,72,5220,4800,14571572.0,1371.75537109375,10431.0,7288.0,4.0,12505.559772296016,0.0555555555555555,0.0067854169756174,134217728.0,65279022.0113852,0.1645268138801262,0.0574763406940063,0.0166666666666666,0.1645268138801262,0.0103682247210617,0.4130755351240191,0.3938627195368555,66503.45944422463,0.9731318219983208,0.9708272279206074,0.4,IMZmFbfloat16,0.01,1,0,False,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,noFPU,noFPU_IMZm,0,1,0.049,1558960000.0,1666.288398341,76389040.0,noFPU_IMZm_fixed,3.630840627265637e-05,float32,24,3.63097749843753e-05,72,5220,4800,14571572.0,1379.178466796875,8342.0,5761.0,4.0,14138.862944162436,2.119276258680556e-07,0.0078125,2048.0,73804864.56852792,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,6.260692150338291e-05,0.4781174790530714,0.4000574824729781,551.4918629530243,0.778244239201418,0.7674170773944319,0.4,IMZm,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,noFPU,noFPU_IM,0,0,0.047,1946420000.0,2643.770144888,91481740.0,noFPU_IM_fixed,3.630840627265637e-05,float32,24,3.63097749843753e-05,72,5220,4800,14571572.0,1379.178466796875,7936.0,5725.0,4.0,17954.5875,2.119276258680556e-07,0.0078125,2048.0,93722946.75,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,6.260692150338291e-05,0.5725823875805812,0.4994867636341241,551.4918629530243,0.7403675716018285,0.7626215532169974,0.4,IM,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,float19,float19_IMFZm,1,1,0.045,1534820000.0,1247.3870173,69066900.0,float19_IMFZm_fixed,0.000770870103441,float19,11,0.0003877359820911,72,5220,4800,14571572.0,1385.5966796875,10351.0,7317.0,6.0,13096.679316888043,0.0053548986993331,0.0067854169756174,16777216.0,68364666.03415559,0.1632649842271293,0.0577050473186119,0.025,0.1632649842271293,0.0039776495471113,0.4322883507111829,0.3938627195368555,11708.81988730057,0.9656684392200764,0.9746902890635408,0.6,IMZmFfloat19,0.01,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,float24,float24_IMFZm,1,1,0.046,1534820000.0,1288.526687092,70601720.0,float24_IMFZm_fixed,6.136277318778359e-05,float24,16,4.627056250948913e-05,72,5220,4800,14571572.0,1360.2529296875,10699.0,7388.0,6.0,13394.331119544591,0.0001085069444444,0.0067854169756174,524288.0,69918408.44402276,0.1687539432176656,0.0582649842271293,0.025,0.1687539432176656,0.0008056814700866,0.4418947585047647,0.3938627195368555,932.0450434306216,0.998134154305439,0.9841481284134808,0.6,IMZmFfloat24,0.001,0,1,True,0.376173275643914,0.07960196265735722,1.0222222222222221,1.0336199401024055,1.009703430367637,1.0
3mm,fixed,128,noFPU,noFPU_IMZm,0,1,0.049,1558960000.0,1666.288398341,76389040.0,noFPU_IMZm_fixed,3.630840627265637e-05,float32,24,3.63097749843753e-05,72,5220,4800,14571572.0,1379.178466796875,8342.0,5761.0,4.0,14138.862944162436,2.119276258680556e-07,0.0078125,2048.0,73804864.56852792,0.131577287066246,0.0454337539432176,0.0166666666666666,0.131577287066246,6.260692150338291e-05,0.4781174790530714,0.4000574824729781,551.4918629530243,0.778244239201418,0.7674170773944319,0.4,IMZm,0.001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,noFPU,noFPU_IM,0,0,0.047,1946420000.0,2643.770144888,91481740.0,noFPU_IM_fixed,3.630840627265637e-05,float32,24,3.63097749843753e-05,72,5220,4800,14571572.0,1379.178466796875,7936.0,5725.0,4.0,17954.5875,2.119276258680556e-07,0.0078125,2048.0,93722946.75,0.125173501577287,0.0451498422712933,0.0166666666666666,0.125173501577287,6.260692150338291e-05,0.5725823875805812,0.4994867636341241,551.4918629530243,0.7403675716018285,0.7626215532169974,0.4,IM,0.001,1,1,True,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,float19,float19_IMFZm,1,1,0.045,1534820000.0,1247.3870173,69066900.0,float19_IMFZm_fixed,0.000770870103441,float19,11,0.0003877359820911,72,5220,4800,14571572.0,1385.5966796875,10351.0,7317.0,6.0,13096.679316888043,0.0053548986993331,0.0067854169756174,16777216.0,68364666.03415559,0.1632649842271293,0.0577050473186119,0.025,0.1632649842271293,0.0039776495471113,0.4322883507111829,0.3938627195368555,11708.81988730057,0.9656684392200764,0.9746902890635408,0.6,IMZmFfloat19,0.001,1,0,False,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,float24,float24_IMFZm,1,1,0.046,1534820000.0,1288.526687092,70601720.0,float24_IMFZm_fixed,6.136277318778359e-05,float24,16,4.627056250948913e-05,72,5220,4800,14571572.0,1360.2529296875,10699.0,7388.0,6.0,13394.331119544591,0.0001085069444444,0.0067854169756174,524288.0,69918408.44402276,0.1687539432176656,0.0582649842271293,0.025,0.1687539432176656,0.0008056814700866,0.4418947585047647,0.3938627195368555,932.0450434306216,0.998134154305439,0.9841481284134808,0.6,IMZmFfloat24,0.0001,1,0,False,0.0,1.0,1.0,1.0,1.0,1.0
3mm,fixed,128,float32,float32_IMFZm,1,1,0.048,1534820000.0,1339.775600334,73671360.0,float32_IMFZm_fixed,3.6310594941989455e-05,float32,24,3.63097749843753e-05,72,5220,4800,14571572.0,1379.178466796875,11192.0,7543.0,10.0,13989.634724857686,2.119276258680556e-07,0.0078125,2048.0,73025893.26375712,0.1765299684542586,0.05948738170347,0.0416666666666666,0.1765299684542586,6.260692150338291e-05,0.4611075740919284,0.3938627195368555,551.5251068613035,1.044127250676369,1.0047955241774345,1.0,IMZmFfloat32,0.0001,0,1,True,1.9065444516703924,0.5917365375725612,1.0434782608695652,1.0460790728105431,1.020979967514889,1.6666666666666667
