bench,scale,target_rel_err,pareto_sim,pareto_pred,common_percent
3mm,128,0.01,[   1 1575 2351 3089],[1575 2351 3089],0.75
3mm,128,0.001,[1575 2351 3089],[ 687 1575 2351],0.6666666666666666
3mm,128,0.0001,[ 687 1575 2351],[1029 1575 2351],0.6666666666666666
3mm,128,1e-05,[ 567 2149],[ 567 2149],1.0
3mm,1,0.01,[ 262 1525 2071 3350],[ 262 1525 2071 3350],1.0
3mm,1,0.001,[1525 2071 3350],[1525 2071 3350],1.0
3mm,1,0.0001,[ 948 1525 2071],[1525 2071  948],1.0
3mm,1,1e-05,[1525 2071],[1290 1525 2071],1.0
3mm,16,0.01,[  36 1476 2369 3124],[  36 1476 2369 3124],1.0
3mm,16,0.001,[1476 2369 3124],[1476 2369 3124],1.0
3mm,16,0.0001,[ 722 1476 2369],[1064 1476 2369],0.6666666666666666
3mm,16,1e-05,[1476 2369],[ 435 2121],0.0
3mm,32,0.01,[ 142 1435 2195 3230],[ 142 1435 2195 3230],1.0
3mm,32,0.001,[1435 2195 3230],[ 828 1435 2195],0.6666666666666666
3mm,32,0.0001,[ 828 1435 2195],[1170 1435 2195],0.6666666666666666
3mm,32,1e-05,[1170 1435 2195],[ 421 2163],0.0
3mm,64,0.01,[ 188 1493 2223 3276],[ 188 1493 2223 3276],1.0
3mm,64,0.001,[1493 2223 3276],[ 874 1493 2223],0.6666666666666666
3mm,64,0.0001,[ 874 1493 2223],[1216 1493 2223],0.6666666666666666
3mm,64,1e-05,[1216 1493 2223],[ 585 2273],0.0
3mm,512,0.01,[  82 1385 1859 2241 2891 3170],[ 768 1385 2241],0.3333333333333333
3mm,512,0.001,[ 768 1385 1741 2241 2547],[1110 1385 2241],0.4
3mm,512,0.0001,[2209 2429],[2209 2429],1.0
3mm,512,1e-05,[ 371 2209],[ 371 2209],1.0
3mm,4,0.01,[ 100 1685 2337 3188],[ 100 1685 2337 3188],1.0
3mm,4,0.001,[1685 2337 3188],[1685 2337 3188],1.0
3mm,4,0.0001,[ 786 1685 2337],[ 786 1685 2337],1.0
3mm,4,1e-05,[1128 1685 2337],[1128 1685 2337],1.0
3mm,1024,0.01,[1417 2015 2103 3367],[ 965 1417 2103],0.5
3mm,1024,0.001,[1841 2057],[800],0.0
3mm,1024,0.0001,[2057 2529],[2057 2529],1.0
3mm,1024,1e-05,[ 471 2057],[ 471 2057],1.0
3mm,8,0.01,[ 311 1543 2319 3399],[ 311 1543 2319 3399],1.0
3mm,8,0.001,[1543 2319 3399],[1543 2319 3399],1.0
3mm,8,0.0001,[ 997 1543 2319],[ 997 1543 2319],1.0
3mm,8,1e-05,[1543 2319],[1339 1543 2319],1.0
3mm,2,0.01,[ 156 1593 2177 3244],[ 156 1593 2177 3244],1.0
3mm,2,0.001,[1593 2177 3244],[1593 2177 3244],1.0
3mm,2,0.0001,[ 842 1593 2177],[ 842 1593 2177],1.0
3mm,2,1e-05,[1184 1593 2177],[1184 1593 2177],1.0
3mm,256,0.01,[ 174 1511 2135 3262],[1511 2135 3262],0.75
3mm,256,0.001,[1511 2135 3262],[1202 1511 2135],0.6666666666666666
3mm,256,0.0001,[2305 2675],[2305 2675],1.0
3mm,256,1e-05,[ 617 2305],[ 617 2305],1.0
bicg,128,0.01,[   3 1577 2353 3091],[   3 1577 2353 3091],1.0
bicg,128,0.001,[ 689 1577 2353],[1577 2353 3091],0.6666666666666666
bicg,128,0.0001,[ 689 1577 2353],[1031 1577 2353],0.6666666666666666
bicg,128,1e-05,[2151 2627],[ 569 2151],0.5
bicg,1,0.01,[ 264 1527 2073 3352],[ 264 1527 2073 3352],1.0
bicg,1,0.001,[1527 2073 3352],[1527 2073 3352],1.0
